NP_type,Coating,core_size_nm,hydro_size_nm,Surf_charge_mV,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,viability_class
C60,None,76.0,,-36.0,Sphere,5.0,24.0,V79,Hamster,Lung,Fibroblast,Adult,Normal,male,MTT,TetrazoliumSalt,carbon,0
C60,None,34.64,142.0,-37.4,Sphere,100.0,24.0,hPDLF,Human,Teeth,Fibroblast,Adult,cancer,,MTT,TetrazoliumSalt,carbon,1
Carbon,None,60.0,,,,0.0,48.0,HDF,Human,Skin,Fibroblast,Adult,Normal,,Live/Dead,CalceinAM,carbon,0
C60,None,34.64,142.0,-37.4,Sphere,10.0,6.0,mDF,Mouse,Skin,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,carbon,0
C60,None,76.0,,-36.0,Sphere,20.0,24.0,V79,Hamster,Lung,Fibroblast,Adult,Normal,male,MTT,TetrazoliumSalt,carbon,0
Diamond,None,4.0,,-35.6,Sphere,100.0,24.0,U87,Human,Brain,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,carbon,0
C60,Dextran,30.29,372.0,-10.1,Sphere,40.0,24.0,C6,Rat,Brain,Fibroblast,Adult,cancer,,NR,toluylene red,carbon,0
C60,Dextran,30.0,,-16.9,Sphere,200.0,24.0,C6,Rat,Brain,Fibroblast,Adult,cancer,,NR,toluylene red,carbon,0
Diamond,None,4.0,,-35.6,Sphere,20.0,2.0,C3A,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,carbon,0
Carbon,None,165.15,,,,0.0,24.0,IP15,Human,Kidney,Spindle,Adult,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Diamond,None,4.0,,-35.6,Sphere,100.0,2.0,U87,Human,Brain,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,carbon,0
Carbon,None,166.15,,,,0.0,24.0,IP15,Human,Kidney,Spindle,Adult,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Carbon,None,21.0,,,Sphere,50.0,24.0,Macrophages,Mouse,Peritoneal Cavity,Macrophage,Adult,Normal,,WST-1,TetrazoliumSalt,carbon,0
Carbon,None,60.0,,,,0.0,48.0,HDF,Human,Skin,Fibroblast,Adult,Normal,,Live/Dead,CalceinAM,carbon,1
C70,Dextran,15.0,109.1,-20.7,Sphere,20.0,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,NR,toluylene red,carbon,0
Carbon,None,60.0,,,,0.0,48.0,HDF,Human,Skin,Fibroblast,Adult,Normal,,Live/Dead,CalceinAM,carbon,0
Graphite,None,4.0,,31.4,Sphere,100.0,24.0,U87,Human,Brain,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,carbon,0
C60,None,34.64,142.0,-37.4,Sphere,100.0,48.0,hPDLF,Human,Teeth,Fibroblast,Adult,cancer,,MTT,TetrazoliumSalt,carbon,0
Carbon,None,35.29,,,,0.01,24.0,IP15,Human,Kidney,Spindle,Adult,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Graphite,None,4.0,,31.4,Sphere,50.0,24.0,U87,Human,Brain,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,carbon,0
C60,None,34.64,142.0,-37.4,Sphere,10.0,6.0,hPDLF,Human,Teeth,Fibroblast,Adult,cancer,,MTT,TetrazoliumSalt,carbon,0
Carbon,None,35.29,,,,0.0,24.0,LLC­PK1,Pig,Kidney,Epithelial,neonate,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Carbon,None,35.29,,,,0.02,24.0,LLC­PK1,Pig,Kidney,Epithelial,neonate,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Diamond,None,4.0,,-35.6,Sphere,100.0,24.0,C3A,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,carbon,0
Carbon,None,60.0,,,,0.0,48.0,HDF,Human,Skin,Fibroblast,Adult,Normal,,Live/Dead,CalceinAM,carbon,0
Carbon,None,22.61,,,,0.0,24.0,LLC­PK1,Pig,Kidney,Epithelial,neonate,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Carbon,None,22.61,,,,0.04,24.0,IP15,Human,Kidney,Spindle,Adult,Normal,male,WST-1,TetrazoliumSalt,carbon,1
Carbon,SO3Na,5.9,,,,0.17,24.0,Neuro­2a,Mouse,Brain,Neural,Adult,cancer,,MTT,TetrazoliumSalt,carbon,0
Carbon,None,173.15,,,,0.0,24.0,IP15,Human,Kidney,Spindle,Adult,Normal,male,WST-1,TetrazoliumSalt,carbon,0
C70,Dextran,15.0,109.1,-20.7,Sphere,80.0,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,Live/Dead,CalceinAM,carbon,0
C60,Dextran,30.29,372.0,-10.1,Sphere,20.0,24.0,C6,Rat,Brain,Fibroblast,Adult,cancer,,NR,toluylene red,carbon,0
C70,None,57.0,,-35.0,Sphere,20.0,24.0,V79,Hamster,Lung,Fibroblast,Adult,Normal,male,MTT,TetrazoliumSalt,carbon,0
Graphite,None,4.0,,31.4,Sphere,100.0,24.0,C3A,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,carbon,0
Carbon,None,178.15,,,,0.0,24.0,LLC­PK1,Pig,Kidney,Epithelial,neonate,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Carbon,None,53.7,,-39.9,Sphere,50.0,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTT,TetrazoliumSalt,carbon,0
Carbon,None,181.15,,,,0.0,24.0,LLC­PK1,Pig,Kidney,Epithelial,neonate,Normal,male,WST-1,TetrazoliumSalt,carbon,1
C70,Dextran,15.0,109.1,-20.7,Sphere,80.0,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,NR,toluylene red,carbon,0
C60,None,125.0,,-25.3,Sphere,144.0,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,carbon,0
Carbon,None,35.29,,,,0.0,24.0,IP15,Human,Kidney,Spindle,Adult,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Carbon,None,21.0,,,Sphere,25.0,24.0,Macrophages,Mouse,Peritoneal Cavity,Macrophage,Adult,Normal,,WST-1,TetrazoliumSalt,carbon,0
Carbon,None,900.0,,,,0.0,48.0,HMM,Human,Blood,Monocyte/Macrophage,Adult,Normal,,NR,toluylene red,carbon,0
Carbon,None,169.15,,,,0.0,24.0,IP15,Human,Kidney,Spindle,Adult,Normal,male,WST-1,TetrazoliumSalt,carbon,0
Carbon,COOH,5.9,,,,0.34,24.0,Neuro­2a,Mouse,Brain,Neural,Adult,cancer,,MTT,TetrazoliumSalt,carbon,0
